user_id,person_country,person_age,person_gender,question_id,q_id,question_famous_person,question_bplace_country,question_birthyear,question_deathyear,question_occupation,question_correct_answer,question_hpi,question_gender,question_date,question_time,current_answer,correct_answer_option,question_type,correct,country_comparison,alive_dead,us_sample,person_language_labels,person_number_languages,question_country_firstlanguage,question_country_secondlanguage,person_country_inferred_firstlanguage,person_country_inferred_secondlanguage
6db20739-00f0-40cf-8b69-fbbd739358bb,,,,56,1,Patrick Swayze,United States,1952.0,2009.0,actor,actress/actor,82.16585049473844,M,2022-11-02,00:34:42.036, ,c,medium,0,,Dead,,,,English,,,
6db20739-00f0-40cf-8b69-fbbd739358bb,,,,59,2,Frank Sinatra,United States,1915.0,1998.0,singer,Frank Sinatra,82.15287067591991,M,2022-11-02,00:34:58.242,Frank Sinatra,c,hard,1,,Dead,,,,English,,,
7f3d5033-7a5d-4799-83e0-d3a344a9d841,United States,Others,Men,55,1,George Westinghouse,United States,1846.0,1914.0,inventor,inventor,77.90661985288475,M,2022-11-02,00:52:04.613,Inventor,a,medium,1,Same,Dead,Americans,"['English', 'Bengali']",2.0,English,,English,
7f3d5033-7a5d-4799-83e0-d3a344a9d841,United States,Others,Men,59,2,Frank Sinatra,United States,1915.0,1998.0,singer,Frank Sinatra,82.15287067591991,M,2022-11-02,00:52:07.767,Frank Sinatra,b,hard,1,Same,Dead,Americans,"['English', 'Bengali']",2.0,English,,English,
7f3d5033-7a5d-4799-83e0-d3a344a9d841,United States,Others,Men,52,3,Sylvester Stallone,United States,1946.0,,actor,United States,88.47094681035666,M,2022-11-02,00:52:12.416,United States,b,easy,1,Same,Alive,Americans,"['English', 'Bengali']",2.0,English,,English,
7f3d5033-7a5d-4799-83e0-d3a344a9d841,United States,Others,Men,53,4,René Descartes,France,1596.0,1650.0,philosopher,René Descartes,92.74489072269915,M,2022-11-02,00:52:15.462,Michel de Montaigne,b,hard,0,Different,Dead,Americans,"['English', 'Bengali']",2.0,French,,English,
7f3d5033-7a5d-4799-83e0-d3a344a9d841,United States,Others,Men,54,5,Wilhelm Röntgen,Germany,1845.0,1923.0,physicist,Germany,87.98681269963012,M,2022-11-02,00:52:18.082,Germany,d,easy,1,Different,Dead,Americans,"['English', 'Bengali']",2.0,German,,English,
7f3d5033-7a5d-4799-83e0-d3a344a9d841,United States,Others,Men,51,6,Morgan Freeman,United States,1937.0,,actor,Morgan Freeman,84.40889424966643,M,2022-11-02,00:52:23.752,Morgan Freeman,b,hard,1,Same,Alive,Americans,"['English', 'Bengali']",2.0,English,,English,
7f3d5033-7a5d-4799-83e0-d3a344a9d841,United States,Others,Men,57,7,Spencer Tracy,United States,1900.0,1967.0,actor,actress/actor,76.76291276278968,M,2022-11-02,00:52:28.641,Actress/actor,d,medium,1,Same,Dead,Americans,"['English', 'Bengali']",2.0,English,,English,
7f3d5033-7a5d-4799-83e0-d3a344a9d841,United States,Others,Men,50,8,Robert Frost,United States,1874.0,1963.0,writer,writer,83.51035970702358,M,2022-11-02,00:52:30.875,Writer,c,medium,1,Same,Dead,Americans,"['English', 'Bengali']",2.0,English,,English,
7f3d5033-7a5d-4799-83e0-d3a344a9d841,United States,Others,Men,58,9,Peter Debye,Netherlands,1884.0,1966.0,physicist,physicist,75.45872639379563,M,2022-11-02,00:52:35.214,Physicist,a,medium,1,Different,Dead,Americans,"['English', 'Bengali']",2.0,Dutch,,English,
7f3d5033-7a5d-4799-83e0-d3a344a9d841,United States,Others,Men,56,10,Patrick Swayze,United States,1952.0,2009.0,actor,actress/actor,82.16585049473844,M,2022-11-02,00:52:37.533,Actress/actor,b,medium,1,Same,Dead,Americans,"['English', 'Bengali']",2.0,English,,English,
56cdb80f-9938-41ac-bbaa-f42f9c43189d,United States,30-39,Men,54,1,Wilhelm Röntgen,Germany,1845.0,1923.0,physicist,Germany,87.98681269963012,M,2022-11-02,00:55:19.190,Germany,b,easy,1,Different,Dead,Americans,['English'],1.0,German,,English,
56cdb80f-9938-41ac-bbaa-f42f9c43189d,United States,30-39,Men,58,2,Peter Debye,Netherlands,1884.0,1966.0,physicist,physicist,75.45872639379563,M,2022-11-02,00:55:26.979,Physicist,b,medium,1,Different,Dead,Americans,['English'],1.0,Dutch,,English,
56cdb80f-9938-41ac-bbaa-f42f9c43189d,United States,30-39,Men,59,3,Frank Sinatra,United States,1915.0,1998.0,singer,Frank Sinatra,82.15287067591991,M,2022-11-02,00:55:34.328,Frank Sinatra,d,hard,1,Same,Dead,Americans,['English'],1.0,English,,English,
56cdb80f-9938-41ac-bbaa-f42f9c43189d,United States,30-39,Men,53,4,René Descartes,France,1596.0,1650.0,philosopher,René Descartes,92.74489072269915,M,2022-11-02,00:55:40.255,René Descartes,c,hard,1,Different,Dead,Americans,['English'],1.0,French,,English,
56cdb80f-9938-41ac-bbaa-f42f9c43189d,United States,30-39,Men,50,5,Robert Frost,United States,1874.0,1963.0,writer,writer,83.51035970702358,M,2022-11-02,00:55:44.212,Writer,a,medium,1,Same,Dead,Americans,['English'],1.0,English,,English,
56cdb80f-9938-41ac-bbaa-f42f9c43189d,United States,30-39,Men,52,6,Sylvester Stallone,United States,1946.0,,actor,United States,88.47094681035666,M,2022-11-02,00:55:47.834,United States,a,easy,1,Same,Alive,Americans,['English'],1.0,English,,English,
56cdb80f-9938-41ac-bbaa-f42f9c43189d,United States,30-39,Men,57,7,Spencer Tracy,United States,1900.0,1967.0,actor,actress/actor,76.76291276278968,M,2022-11-02,00:55:51.192,Actress/actor,b,medium,1,Same,Dead,Americans,['English'],1.0,English,,English,
56cdb80f-9938-41ac-bbaa-f42f9c43189d,United States,30-39,Men,51,8,Morgan Freeman,United States,1937.0,,actor,Morgan Freeman,84.40889424966643,M,2022-11-02,00:55:57.119,Morgan Freeman,a,hard,1,Same,Alive,Americans,['English'],1.0,English,,English,
56cdb80f-9938-41ac-bbaa-f42f9c43189d,United States,30-39,Men,56,9,Patrick Swayze,United States,1952.0,2009.0,actor,actress/actor,82.16585049473844,M,2022-11-02,00:56:00.593,Actress/actor,c,medium,1,Same,Dead,Americans,['English'],1.0,English,,English,
56cdb80f-9938-41ac-bbaa-f42f9c43189d,United States,30-39,Men,55,10,George Westinghouse,United States,1846.0,1914.0,inventor,inventor,77.90661985288475,M,2022-11-02,00:56:05.423,Inventor,c,medium,1,Same,Dead,Americans,['English'],1.0,English,,English,
a92b4675-fdf5-4b76-8e48-221ad74cac54,United States,50-59,Men,59,1,Frank Sinatra,United States,1915.0,1998.0,singer,Frank Sinatra,82.15287067591991,M,2022-11-02,01:14:25.784,Joe Dassin,d,hard,0,Same,Dead,Americans,['English'],1.0,English,,English,
e7b8e851-323f-4a08-aaaa-fb57cccd5a2a,Chile,Others,Women,56,1,Patrick Swayze,United States,1952.0,2009.0,actor,actress/actor,82.16585049473844,M,2022-11-02,01:14:29.613,Photographer,c,medium,0,Different,Dead,Non-Americans,['Spanish'],1.0,English,,Spanish,
a92b4675-fdf5-4b76-8e48-221ad74cac54,United States,50-59,Men,50,2,Robert Frost,United States,1874.0,1963.0,writer,writer,83.51035970702358,M,2022-11-02,01:14:38.081,Writer,b,medium,1,Same,Dead,Americans,['English'],1.0,English,,English,
e7b8e851-323f-4a08-aaaa-fb57cccd5a2a,Chile,Others,Women,53,2,René Descartes,France,1596.0,1650.0,philosopher,René Descartes,92.74489072269915,M,2022-11-02,01:14:41.487,Michel de Montaigne,c,hard,0,Different,Dead,Non-Americans,['Spanish'],1.0,French,,Spanish,
a92b4675-fdf5-4b76-8e48-221ad74cac54,United States,50-59,Men,52,3,Sylvester Stallone,United States,1946.0,,actor,United States,88.47094681035666,M,2022-11-02,01:14:47.226,United States,a,easy,1,Same,Alive,Americans,['English'],1.0,English,,English,
a92b4675-fdf5-4b76-8e48-221ad74cac54,United States,50-59,Men,57,4,Spencer Tracy,United States,1900.0,1967.0,actor,actress/actor,76.76291276278968,M,2022-11-02,01:14:54.200,Actress/actor,c,medium,1,Same,Dead,Americans,['English'],1.0,English,,English,
e7b8e851-323f-4a08-aaaa-fb57cccd5a2a,Chile,Others,Women,51,3,Morgan Freeman,United States,1937.0,,actor,Morgan Freeman,84.40889424966643,M,2022-11-02,01:14:55.113,Morgan Freeman,d,hard,1,Different,Alive,Non-Americans,['Spanish'],1.0,English,,Spanish,
a92b4675-fdf5-4b76-8e48-221ad74cac54,United States,50-59,Men,55,5,George Westinghouse,United States,1846.0,1914.0,inventor,inventor,77.90661985288475,M,2022-11-02,01:15:00.259,Inventor,b,medium,1,Same,Dead,Americans,['English'],1.0,English,,English,
e7b8e851-323f-4a08-aaaa-fb57cccd5a2a,Chile,Others,Women,50,4,Robert Frost,United States,1874.0,1963.0,writer,writer,83.51035970702358,M,2022-11-02,01:15:03.070,Comic artist,a,medium,0,Different,Dead,Non-Americans,['Spanish'],1.0,English,,Spanish,
a92b4675-fdf5-4b76-8e48-221ad74cac54,United States,50-59,Men,51,6,Morgan Freeman,United States,1937.0,,actor,Morgan Freeman,84.40889424966643,M,2022-11-02,01:15:10.458, ,b,hard,0,Same,Alive,Americans,['English'],1.0,English,,English,
e7b8e851-323f-4a08-aaaa-fb57cccd5a2a,Chile,Others,Women,59,5,Frank Sinatra,United States,1915.0,1998.0,singer,Frank Sinatra,82.15287067591991,M,2022-11-02,01:15:12.949,Frank Sinatra,d,hard,1,Different,Dead,Non-Americans,['Spanish'],1.0,English,,Spanish,
e7b8e851-323f-4a08-aaaa-fb57cccd5a2a,Chile,Others,Women,52,6,Sylvester Stallone,United States,1946.0,,actor,United States,88.47094681035666,M,2022-11-02,01:15:20.303,Russia,c,easy,0,Different,Alive,Non-Americans,['Spanish'],1.0,English,,Spanish,
a92b4675-fdf5-4b76-8e48-221ad74cac54,United States,50-59,Men,54,7,Wilhelm Röntgen,Germany,1845.0,1923.0,physicist,Germany,87.98681269963012,M,2022-11-02,01:15:25.229,Germany,a,easy,1,Different,Dead,Americans,['English'],1.0,German,,English,
e7b8e851-323f-4a08-aaaa-fb57cccd5a2a,Chile,Others,Women,57,7,Spencer Tracy,United States,1900.0,1967.0,actor,actress/actor,76.76291276278968,M,2022-11-02,01:15:27.358,Actress/actor,d,medium,1,Different,Dead,Non-Americans,['Spanish'],1.0,English,,Spanish,
e7b8e851-323f-4a08-aaaa-fb57cccd5a2a,Chile,Others,Women,58,8,Peter Debye,Netherlands,1884.0,1966.0,physicist,physicist,75.45872639379563,M,2022-11-02,01:15:37.303,Geologist,a,medium,0,Different,Dead,Non-Americans,['Spanish'],1.0,Dutch,,Spanish,
a92b4675-fdf5-4b76-8e48-221ad74cac54,United States,50-59,Men,53,8,René Descartes,France,1596.0,1650.0,philosopher,René Descartes,92.74489072269915,M,2022-11-02,01:15:38.515,René Descartes,c,hard,1,Different,Dead,Americans,['English'],1.0,French,,English,
e7b8e851-323f-4a08-aaaa-fb57cccd5a2a,Chile,Others,Women,55,9,George Westinghouse,United States,1846.0,1914.0,inventor,inventor,77.90661985288475,M,2022-11-02,01:15:48.766,Inventor,d,medium,1,Different,Dead,Non-Americans,['Spanish'],1.0,English,,Spanish,
a92b4675-fdf5-4b76-8e48-221ad74cac54,United States,50-59,Men,58,9,Peter Debye,Netherlands,1884.0,1966.0,physicist,physicist,75.45872639379563,M,2022-11-02,01:15:49.403,Political scientist,a,medium,0,Different,Dead,Americans,['English'],1.0,Dutch,,English,
a92b4675-fdf5-4b76-8e48-221ad74cac54,United States,50-59,Men,56,10,Patrick Swayze,United States,1952.0,2009.0,actor,actress/actor,82.16585049473844,M,2022-11-02,01:15:52.888,Actress/actor,b,medium,1,Same,Dead,Americans,['English'],1.0,English,,English,
e7b8e851-323f-4a08-aaaa-fb57cccd5a2a,Chile,Others,Women,54,10,Wilhelm Röntgen,Germany,1845.0,1923.0,physicist,Germany,87.98681269963012,M,2022-11-02,01:15:58.126,Germany,a,easy,1,Different,Dead,Non-Americans,['Spanish'],1.0,German,,Spanish,
c7692840-fc2d-4d24-9b8e-bab632ad9342,,,,58,1,Peter Debye,Netherlands,1884.0,1966.0,physicist,physicist,75.45872639379563,M,2022-11-02,01:56:21.504,Physicist,d,medium,1,,Dead,,,,Dutch,,,
c7692840-fc2d-4d24-9b8e-bab632ad9342,,,,50,2,Robert Frost,United States,1874.0,1963.0,writer,writer,83.51035970702358,M,2022-11-02,01:56:24.686,Writer,b,medium,1,,Dead,,,,English,,,
c7692840-fc2d-4d24-9b8e-bab632ad9342,,,,53,3,René Descartes,France,1596.0,1650.0,philosopher,René Descartes,92.74489072269915,M,2022-11-02,01:56:30.448,René Descartes,a,hard,1,,Dead,,,,French,,,
c7692840-fc2d-4d24-9b8e-bab632ad9342,,,,59,4,Frank Sinatra,United States,1915.0,1998.0,singer,Frank Sinatra,82.15287067591991,M,2022-11-02,01:56:40.544,Talcott Parsons,a,hard,0,,Dead,,,,English,,,
c7692840-fc2d-4d24-9b8e-bab632ad9342,,,,56,5,Patrick Swayze,United States,1952.0,2009.0,actor,actress/actor,82.16585049473844,M,2022-11-02,01:56:44.363,Actress/actor,c,medium,1,,Dead,,,,English,,,
c7692840-fc2d-4d24-9b8e-bab632ad9342,,,,55,6,George Westinghouse,United States,1846.0,1914.0,inventor,inventor,77.90661985288475,M,2022-11-02,01:56:48.028,Inventor,c,medium,1,,Dead,,,,English,,,
c7692840-fc2d-4d24-9b8e-bab632ad9342,,,,51,7,Morgan Freeman,United States,1937.0,,actor,Morgan Freeman,84.40889424966643,M,2022-11-02,01:56:53.780,Morgan Freeman,c,hard,1,,Alive,,,,English,,,
c7692840-fc2d-4d24-9b8e-bab632ad9342,,,,57,8,Spencer Tracy,United States,1900.0,1967.0,actor,actress/actor,76.76291276278968,M,2022-11-02,01:56:58.439,Actress/actor,d,medium,1,,Dead,,,,English,,,
c7692840-fc2d-4d24-9b8e-bab632ad9342,,,,54,9,Wilhelm Röntgen,Germany,1845.0,1923.0,physicist,Germany,87.98681269963012,M,2022-11-02,01:57:02.202,Germany,d,easy,1,,Dead,,,,German,,,
